x_m,y_m,w_tr_right_m,w_tr_left_m
20.628630908,2.298687755,0.457200000,0.457200000
20.653613128,2.298687755,0.457200000,0.457200000
20.678595347,2.298687755,0.457200000,0.457200000
20.703577567,2.298687755,0.457200000,0.457200000
20.728559786,2.298687755,0.457200000,0.457200000
20.753542006,2.298687755,0.457200000,0.457200000
20.778524225,2.298687755,0.457200000,0.457200000
20.803506445,2.298687755,0.457200000,0.457200000
20.828488664,2.298687755,0.457200000,0.457200000
20.853470884,2.298687755,0.457200000,0.457200000
20.878453103,2.298687755,0.457200000,0.457200000
20.903435323,2.298687755,0.457200000,0.457200000
20.928417542,2.298687755,0.457200000,0.457200000
20.953399762,2.298687755,0.457200000,0.457200000
20.978381981,2.298687755,0.457200000,0.457200000
21.003364201,2.298687755,0.457200000,0.457200000
21.028346420,2.298687755,0.457200000,0.457200000
21.053328640,2.298687755,0.457200000,0.457200000
21.078310859,2.298687755,0.457200000,0.457200000
21.103293079,2.298687755,0.457200000,0.457200000
21.128275298,2.298687755,0.457200000,0.457200000
21.153257518,2.298687755,0.457200000,0.457200000
21.178239737,2.298687755,0.457200000,0.457200000
21.203221957,2.298687755,0.457200000,0.457200000
21.228204176,2.298687755,0.457200000,0.457200000
21.253186396,2.298687755,0.457200000,0.457200000
21.278168615,2.298687755,0.457200000,0.457200000
21.303150835,2.298687755,0.457200000,0.457200000
21.328133054,2.298687755,0.457200000,0.457200000
21.353115274,2.298687755,0.457200000,0.457200000
21.378097494,2.298687755,0.457200000,0.457200000
21.403079713,2.298687755,0.457200000,0.457200000
21.428061933,2.298687755,0.457200000,0.457200000
21.453044152,2.298687755,0.457200000,0.457200000
21.478026372,2.298687755,0.457200000,0.457200000
21.503008591,2.298687755,0.457200000,0.457200000
21.527990811,2.298687755,0.457200000,0.457200000
21.552973030,2.298687755,0.457200000,0.457200000
21.577955250,2.298687755,0.457200000,0.457200000
21.602937469,2.298687755,0.457200000,0.457200000
21.627919689,2.298687755,0.457200000,0.457200000
21.652901908,2.298687755,0.457200000,0.457200000
21.677884128,2.298687755,0.457200000,0.457200000
21.702866347,2.298687755,0.457200000,0.457200000
21.727848567,2.298687755,0.457200000,0.457200000
21.752830786,2.298687755,0.457200000,0.457200000
21.777813006,2.298687755,0.457200000,0.457200000
21.802795225,2.298687755,0.457200000,0.457200000
21.827777445,2.298687755,0.457200000,0.457200000
21.852759664,2.298687755,0.457200000,0.457200000
21.877741884,2.298687755,0.457200000,0.457200000
21.902724103,2.298687755,0.457200000,0.457200000
21.927706323,2.298687755,0.457200000,0.457200000
21.952688542,2.298687755,0.457200000,0.457200000
21.977670762,2.298687755,0.457200000,0.457200000
22.002652981,2.298687755,0.457200000,0.457200000
22.027635201,2.298687755,0.457200000,0.457200000
22.052617420,2.298687755,0.457200000,0.457200000
22.077599640,2.298687755,0.457200000,0.457200000
22.102581859,2.298687755,0.457200000,0.457200000
22.127564079,2.298687755,0.457200000,0.457200000
22.152546298,2.298687755,0.457200000,0.457200000
22.177528518,2.298687755,0.457200000,0.457200000
22.202510737,2.298687755,0.457200000,0.457200000
22.227492957,2.298687755,0.457200000,0.457200000
22.252475176,2.298687755,0.457200000,0.457200000
22.277457396,2.298687755,0.457200000,0.457200000
22.302439615,2.298687755,0.457200000,0.457200000
22.327421835,2.298687755,0.457200000,0.457200000
22.352404055,2.298687755,0.457200000,0.457200000
22.377386274,2.298687755,0.457200000,0.457200000
22.402368494,2.298687755,0.457200000,0.457200000
22.427350713,2.298687755,0.457200000,0.457200000
22.452332933,2.298687755,0.457200000,0.457200000
22.477315152,2.298687755,0.457200000,0.457200000
22.502297372,2.298687755,0.457200000,0.457200000
22.527279591,2.298687755,0.457200000,0.457200000
22.552261811,2.298687755,0.457200000,0.457200000
22.577244030,2.298687755,0.457200000,0.457200000
22.602226250,2.298687755,0.457200000,0.457200000
22.627208469,2.298687755,0.457200000,0.457200000
22.652190689,2.298687755,0.457200000,0.457200000
22.677172908,2.298687755,0.457200000,0.457200000
22.702155128,2.298687755,0.457200000,0.457200000
22.727137347,2.298687755,0.457200000,0.457200000
22.752119567,2.298687755,0.457200000,0.457200000
22.777101786,2.298687755,0.457200000,0.457200000
22.802084006,2.298687755,0.457200000,0.457200000
22.827066225,2.298687755,0.457200000,0.457200000
22.852048445,2.298687755,0.457200000,0.457200000
22.877030664,2.298687755,0.457200000,0.457200000
22.902012884,2.298687755,0.457200000,0.457200000
22.926995103,2.298687755,0.457200000,0.457200000
22.951977323,2.298687755,0.457200000,0.457200000
22.976959542,2.298687755,0.457200000,0.457200000
23.001941762,2.298687755,0.457200000,0.457200000
23.026923981,2.298687755,0.457200000,0.457200000
23.051906201,2.298687755,0.457200000,0.457200000
23.076888420,2.298687755,0.457200000,0.457200000
23.101870640,2.298687755,0.457200000,0.457200000
23.126852859,2.298687755,0.457200000,0.457200000
23.151835079,2.298687755,0.457200000,0.457200000
23.176817298,2.298687755,0.457200000,0.457200000
23.201799518,2.298687755,0.457200000,0.457200000
