s_m,x_m,y_m,yaw_rad,curvature_1pm,left_clearance_m,right_clearance_m
1.623844268,22.252475176,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.648826488,22.277457396,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.673808707,22.302439615,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.698790927,22.327421835,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.723773146,22.352404055,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.748755366,22.377386274,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.773737585,22.402368494,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.798719805,22.427350713,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.823702024,22.452332933,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.848684244,22.477315152,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.873666463,22.502297372,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.898648683,22.527279591,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.923630902,22.552261811,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.948613122,22.577244030,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.973595342,22.602226250,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
1.998577561,22.627208469,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.023559781,22.652190689,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.048542000,22.677172908,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.073524220,22.702155128,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.098506439,22.727137347,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.123488659,22.752119567,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.148470878,22.777101786,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.173453098,22.802084006,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.198435317,22.827066225,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.223417537,22.852048445,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.248399756,22.877030664,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.273381976,22.902012884,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.298364195,22.926995103,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.323346415,22.951977323,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.348328634,22.976959542,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.373310854,23.001941762,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.398293073,23.026923981,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.423275293,23.051906201,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.448257512,23.076888420,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.473239732,23.101870640,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.498221951,23.126852859,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.523204171,23.151835079,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.548186390,23.176817298,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.573168610,23.201799518,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.598150829,23.226781737,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.623133049,23.251763957,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.648115268,23.276746176,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.673097488,23.301728396,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.698079707,23.326710616,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.723061927,23.351692835,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.748044146,23.376675055,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.773026366,23.401657274,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.798008585,23.426639494,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.822990805,23.451621713,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.847973024,23.476603933,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.872955244,23.501586152,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.897937463,23.526568372,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.922919683,23.551550591,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.947901903,23.576532811,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.972884122,23.601515030,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
2.997866342,23.626497250,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.022848561,23.651479469,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.047830781,23.676461689,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.072813000,23.701443908,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.097795220,23.726426128,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.122777439,23.751408347,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.147759659,23.776390567,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.172741878,23.801372786,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.197724098,23.826355006,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.222706317,23.851337225,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.247688537,23.876319445,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.272670756,23.901301664,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.297652976,23.926283884,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.322635195,23.951266103,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.347617415,23.976248323,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.372599634,24.001230542,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.397581854,24.026212762,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.422564073,24.051194981,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.447546293,24.076177201,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.472528512,24.101159420,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.497510732,24.126141640,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.522492951,24.151123859,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.547475171,24.176106079,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.572457390,24.201088298,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.597439610,24.226070518,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.622421829,24.251052737,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.647404049,24.276034957,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.672386268,24.301017177,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.697368488,24.325999396,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.722350707,24.350981616,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.747332927,24.375963835,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.772315146,24.400946055,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.797297366,24.425928274,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.822279585,24.450910494,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.847261805,24.475892713,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.872244024,24.500874933,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.897226244,24.525857152,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.922208464,24.550839372,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.947190683,24.575821591,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.972172903,24.600803811,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
3.997155122,24.625786030,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.022137342,24.650768250,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.047119561,24.675750469,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.072101781,24.700732689,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.097084000,24.725714908,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.122066220,24.750697128,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.147048439,24.775679347,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.172030659,24.800661567,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.197012878,24.825643786,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.221995098,24.850626006,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.246977317,24.875608225,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.271959537,24.900590445,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.296941756,24.925572664,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.321923976,24.950554884,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.346906195,24.975537103,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.371888415,25.000519323,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.396870634,25.025501542,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.421852854,25.050483762,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.446835073,25.075465981,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.471817293,25.100448201,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.496799512,25.125430420,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.521781732,25.150412640,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.546763951,25.175394859,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.571746171,25.200377079,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.596728390,25.225359298,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.621710610,25.250341518,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.646692829,25.275323738,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.671675049,25.300305957,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.696657268,25.325288177,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.721639488,25.350270396,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.746621707,25.375252616,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.771603927,25.400234835,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.796586146,25.425217055,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.821568366,25.450199274,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.846550585,25.475181494,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.871532805,25.500163713,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.896515025,25.525145933,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.921497244,25.550128152,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.946479464,25.575110372,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.971461683,25.600092591,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
4.996443903,25.625074811,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.021426122,25.650057030,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.046408342,25.675039250,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.071390561,25.700021469,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.096372781,25.725003689,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.121355000,25.749985908,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.146337220,25.774968128,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.171319439,25.799950347,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.196301659,25.824932567,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.221283878,25.849914786,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.246266098,25.874897006,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.271248317,25.899879225,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.296230537,25.924861445,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.321212756,25.949843664,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.346194976,25.974825884,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.371177195,25.999808103,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.396159415,26.024790323,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.421141634,26.049772542,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.446123854,26.074754762,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.471106073,26.099736981,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.496088293,26.124719201,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.521070512,26.149701420,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
5.546052732,26.174683640,2.298687755,0.000000000,0.000000000,0.457200000,0.457200000
